数据月份,省,市,区县,订单行数,数量合计,GMV合计
2月,辽宁省,辽阳市,白塔区,1,400.0,2831.4
2月,安徽省,阜阳市,颍东区,2,240.0,1553.904
2月,江苏省,泰州市,泰兴市,4,241.0,1546.5079999999998
2月,甘肃省,天水市,清水县,3,161.0,1074.546
2月,江苏省,淮安市,涟水县,3,126.0,857.2180000000001
2月,黑龙江省,齐齐哈尔市,甘南县,1,120.0,849.42
2月,江苏省,淮安市,洪泽区,2,95.0,661.4805
2月,浙江省,金华市,义乌市,6,85.0,616.2495
2月,湖北省,襄阳市,枣阳市,2,98.0,615.3526
2月,湖北省,黄石市,阳新县,2,95.0,613.9915
2月,浙江省,宁波市,鄞州区,4,84.0,604.432
2月,浙江省,温州市,瑞安市,3,96.0,596.9112
2月,安徽省,滁州市,琅琊区,3,83.0,592.7201
2月,浙江省,宁波市,慈溪市,3,82.0,572.0838
2月,湖北省,随州市,曾都区,2,80.0,572.0
2月,陕西省,榆林市,靖边县,2,80.0,572.0
2月,浙江省,杭州市,建德市,4,85.0,556.9995
2月,浙江省,温州市,平阳县,3,84.0,549.3189
2月,安徽省,宣城市,宣州区,3,81.0,548.3820000000001
2月,山东省,日照市,五莲县,2,80.0,546.0
2月,江苏省,徐州市,邳州市,1,80.0,537.968
2月,浙江省,嘉兴市,桐乡市,2,80.0,537.54
2月,河北省,保定市,安新县,2,80.0,517.66
2月,湖南省,湘潭市,湘潭县,2,70.0,450.8
2月,浙江省,湖州市,吴兴区,4,59.0,426.32959999999997
2月,江西省,上饶市,广丰区,4,59.0,417.7196
2月,海南省,海口市,美兰区,3,57.0,404.56759999999997
2月,江苏省,淮安市,淮安区,2,55.0,395.9995
2月,江西省,赣州市,定南县,2,55.0,395.9995
2月,浙江省,绍兴市,上虞区,2,55.0,395.9995
2月,辽宁省,大连市,甘井子区,2,55.0,395.9995
2月,江西省,九江市,修水县,2,55.0,389.0005
2月,江西省,九江市,浔阳区,2,55.0,381.6995
2月,浙江省,湖州市,安吉县,3,56.0,373.6615
2月,上海,上海市,浦东新区,8,50.0,356.54380000000003
2月,安徽省,阜阳市,临泉县,4,45.0,328.8619
2月,海南省,三亚市,天涯区,3,46.0,323.6985
2月,广东省,佛山市,南海区,3,44.0,321.7099
2月,安徽省,芜湖市,鸠江区,3,44.0,319.7416
2月,江苏省,宿迁市,宿城区,3,44.0,310.6426
2月,浙江省,金华市,东阳市,2,42.0,303.1204
2月,湖北省,省直辖县级行政区划,仙桃市,2,42.0,303.1204
2月,山东省,泰安市,东平县,3,42.0,302.8757
2月,湖南省,怀化市,溆浦县,2,41.0,296.9
2月,江西省,吉安市,吉州区,2,41.0,295.122
2月,江西省,宜春市,袁州区,2,41.0,295.122
2月,浙江省,衢州市,衢江区,2,41.0,295.122
2月,湖北省,武汉市,汉阳区,2,41.0,295.122
2月,湖北省,襄阳市,南漳县,2,41.0,295.122
2月,江苏省,盐城市,阜宁县,2,41.0,294.6659
2月,江苏省,扬州市,江都区,4,43.0,294.2678
2月,安徽省,芜湖市,无为市,2,41.0,293.8463
2月,江苏省,徐州市,沛县,2,41.0,293.2976
