数据月份,省,市,订单行数,数量合计,GMV合计
2月,辽宁省,辽阳市,1,400.0,2831.4
2月,安徽省,阜阳市,18,352.0,2347.0713
2月,江苏省,淮安市,14,328.0,2291.9034
2月,浙江省,温州市,14,309.0,2053.2104
2月,江苏省,泰州市,5,242.0,1554.2617
2月,浙江省,金华市,12,213.0,1538.4099
2月,海南省,省直辖县级行政区划,10,211.0,1487.7903000000001
2月,浙江省,宁波市,10,169.0,1209.2158
2月,甘肃省,天水市,3,161.0,1074.546
2月,江西省,九江市,11,147.0,1035.5046
2月,安徽省,芜湖市,11,146.0,1010.3108000000001
2月,江西省,赣州市,10,142.0,999.7407000000001
2月,湖北省,襄阳市,8,146.0,967.7996
2月,河北省,保定市,10,130.0,882.9635
2月,湖南省,怀化市,4,121.0,868.9
2月,江苏省,徐州市,6,125.0,862.5937999999999
2月,浙江省,嘉兴市,5,124.0,857.9001000000001
2月,安徽省,宣城市,6,123.0,853.0356999999999
2月,黑龙江省,齐齐哈尔市,1,120.0,849.42
2月,浙江省,绍兴市,7,118.0,833.9974
2月,浙江省,湖州市,7,115.0,799.9911
2月,浙江省,杭州市,22,110.0,751.564
2月,湖南省,湘潭市,3,110.0,711.06
2月,福建省,宁德市,5,98.0,691.2587
2月,湖北省,黄石市,4,102.0,659.985
2月,浙江省,台州市,6,91.0,631.6287
2月,江苏省,南通市,8,91.0,631.3611
2月,上海,上海市,30,83.0,622.172
2月,海南省,三亚市,5,87.0,616.9102
2月,安徽省,滁州市,6,86.0,616.4914
2月,湖南省,永州市,8,92.0,610.9108
2月,安徽省,合肥市,6,86.0,604.3413
2月,黑龙江省,哈尔滨市,4,83.0,601.8
2月,湖北省,随州市,3,83.0,590.7529999999999
2月,陕西省,咸阳市,4,86.0,589.36
2月,湖北省,省直辖县级行政区划,3,82.0,589.1204
2月,陕西省,榆林市,3,81.0,579.9388
2月,江苏省,无锡市,3,81.0,577.8169
2月,贵州省,黔南布依族苗族自治州,4,82.0,570.244
2月,贵州省,遵义市,5,84.0,566.2439999999999
2月,海南省,海口市,7,77.0,556.1846
2月,江西省,宜春市,4,82.0,554.842
2月,贵州省,六盘水市,2,80.0,552.0
2月,山东省,日照市,2,80.0,546.0
2月,湖南省,邵阳市,4,82.0,539.1736999999999
2月,江苏省,苏州市,9,67.0,467.1669
2月,江西省,上饶市,8,66.0,465.0021
2月,辽宁省,大连市,7,61.0,445.52529999999996
2月,湖北省,武汉市,11,56.0,421.6253
2月,江苏省,宿迁市,10,57.0,411.0057
2月,江西省,吉安市,3,56.0,403.122
2月,福建省,泉州市,12,57.0,395.872
2月,河南省,商丘市,2,55.0,390.5005
2月,福建省,三明市,3,56.0,375.0295
2月,江苏省,南京市,8,49.0,367.9937
2月,广东省,中山市,8,53.0,364.78950000000003
2月,河南省,周口市,7,49.0,361.5475
2月,江苏省,盐城市,6,50.0,355.7665
2月,湖北省,荆门市,2,55.0,352.3995
2月,广东省,佛山市,4,46.0,338.7113
2月,山东省,泰安市,5,46.0,338.4958
2月,广东省,汕头市,7,51.0,336.7545
2月,江苏省,扬州市,7,48.0,335.8404
2月,河南省,南阳市,5,46.0,330.1641
2月,河南省,驻马店市,5,45.0,327.049
2月,湖北省,咸宁市,4,45.0,326.4204
2月,江苏省,连云港市,3,48.0,324.89059999999995
2月,吉林省,吉林市,4,44.0,313.9214
2月,福建省,龙岩市,4,45.0,312.3063
2月,安徽省,亳州市,4,45.0,311.60179999999997
2月,湖北省,荆州市,5,47.0,309.15099999999995
2月,浙江省,丽水市,4,43.0,308.2337
2月,山东省,东营市,2,43.0,303.8011
2月,陕西省,安康市,4,43.0,296.334
2月,浙江省,衢州市,2,41.0,295.122
2月,湖北省,十堰市,2,41.0,295.122
2月,贵州省,毕节市,2,41.0,293.7537
2月,安徽省,六安市,3,45.0,292.9055
2月,福建省,莆田市,5,46.0,292.9022
2月,黑龙江省,牡丹江市,2,41.0,290.139
2月,云南省,德宏傣族景颇族自治州,1,40.0,286.0
2月,海南省,五指山市,1,40.0,286.0
2月,四川省,广元市,2,42.0,284.9
2月,广东省,揭阳市,2,41.0,283.2117
2月,贵州省,贵阳市,2,41.0,279.72569999999996
2月,山东省,菏泽市,4,43.0,277.2326
2月,山东省,聊城市,2,41.0,275.122
2月,内蒙古自治区,赤峰市,2,42.0,274.5204
2月,山东省,临沂市,14,39.0,274.0002
2月,辽宁省,葫芦岛市,1,40.0,271.7
2月,山东省,济南市,5,44.0,270.003
2月,湖北省,孝感市,3,42.0,269.1352
2月,湖南省,湘西土家族苗族自治州,1,40.0,260.26
2月,安徽省,黄山市,1,40.0,256.0
2月,广东省,东莞市,11,34.0,250.0112
2月,江西省,萍乡市,1,40.0,248.82
2月,云南省,红河哈尼族彝族自治州,2,33.0,235.6011
2月,安徽省,安庆市,5,33.0,228.7162
2月,湖南省,常德市,3,31.0,214.399
2月,广东省,广州市,9,24.0,182.44830000000002
2月,河南省,信阳市,5,21.0,162.135
2月,湖南省,衡阳市,6,23.0,161.6982
2月,海南省,儋州市,5,21.0,156.1249
2月,安徽省,宿州市,5,20.0,147.83790000000002
2月,湖南省,长沙市,6,21.0,145.5078
2月,云南省,玉溪市,3,19.0,144.5653
2月,北京,北京市,11,16.0,142.7765
2月,福建省,漳州市,3,21.0,137.48309999999998
2月,江苏省,常州市,3,17.0,126.85929999999999
2月,江西省,景德镇市,2,16.0,119.1215
2月,山东省,济宁市,3,18.0,117.8005
2月,辽宁省,朝阳市,2,16.0,117.3897
2月,辽宁省,沈阳市,10,14.0,114.36619999999999
2月,吉林省,四平市,2,16.0,114.0261
2月,广东省,深圳市,8,13.0,113.2962
2月,内蒙古自治区,乌兰察布市,1,15.0,109.9995
2月,甘肃省,张掖市,1,15.0,109.9995
2月,甘肃省,酒泉市,1,15.0,109.9995
2月,辽宁省,阜新市,1,15.0,109.9995
2月,陕西省,西安市,9,12.0,99.2563
2月,内蒙古自治区,通辽市,1,15.0,94.9995
2月,山东省,烟台市,7,11.0,86.5137
2月,河南省,郑州市,9,11.0,86.105
2月,辽宁省,丹东市,1,12.0,82.0596
2月,吉林省,长春市,7,9.0,77.8794
2月,福建省,福州市,5,10.0,77.4925
2月,山东省,青岛市,6,6.0,56.9197
2月,天津,天津市,5,6.0,49.947599999999994
2月,山东省,淄博市,4,6.0,49.051899999999996
2月,江西省,鹰潭市,2,7.0,45.596199999999996
2月,河北省,邢台市,4,5.0,41.4719
2月,山东省,滨州市,1,5.0,40.9
2月,河南省,洛阳市,4,5.0,39.7695
2月,湖南省,益阳市,2,5.0,39.6678
2月,福建省,南平市,3,5.0,39.337199999999996
2月,四川省,南充市,1,5.0,38.86
2月,宁夏回族自治区,银川市,2,4.0,34.6538
2月,广东省,珠海市,3,4.0,33.54
2月,重庆,重庆市,3,5.0,33.455799999999996
2月,四川省,成都市,3,4.0,33.0839
2月,山东省,潍坊市,3,4.0,33.0839
2月,贵州省,黔东南苗族侗族自治州,2,4.0,33.0204
2月,广西壮族自治区,贵港市,2,4.0,32.852599999999995
2月,山西省,太原市,4,4.0,31.4576
2月,山东省,威海市,3,3.0,30.922
2月,湖南省,岳阳市,2,4.0,30.8498
2月,湖北省,黄冈市,2,4.0,30.116
2月,安徽省,蚌埠市,2,4.0,29.2961
2月,广西壮族自治区,南宁市,2,4.0,29.2961
2月,河北省,张家口市,2,3.0,28.022
2月,安徽省,淮南市,3,3.0,27.7757
2月,广东省,潮州市,2,4.0,27.2519
2月,山东省,德州市,1,3.0,26.9001
2月,河北省,衡水市,3,3.0,26.71
2月,安徽省,池州市,2,3.0,26.3904
2月,甘肃省,平凉市,2,3.0,26.2424
2月,湖南省,娄底市,3,4.0,26.1542
2月,河北省,承德市,2,3.0,25.7415
2月,辽宁省,鞍山市,2,3.0,25.7415
2月,吉林省,延边朝鲜族自治州,1,3.0,24.6099
2月,四川省,达州市,2,3.0,23.7436
2月,广西壮族自治区,北海市,1,3.0,23.7306
2月,广西壮族自治区,钦州市,1,3.0,23.7306
2月,河北省,沧州市,1,3.0,23.7306
2月,甘肃省,兰州市,3,3.0,22.805
2月,陕西省,延安市,2,3.0,20.6436
2月,陕西省,宝鸡市,2,2.0,20.022
2月,江西省,抚州市,2,3.0,19.6851
2月,辽宁省,锦州市,2,2.0,19.62
2月,内蒙古自治区,呼伦贝尔市,1,2.0,18.9
2月,黑龙江省,鸡西市,1,2.0,18.9
2月,甘肃省,定西市,2,2.0,18.7463
2月,河北省,石家庄市,2,2.0,18.392
2月,广西壮族自治区,柳州市,2,2.0,18.244
2月,江西省,南昌市,2,2.0,18.244
2月,四川省,雅安市,1,2.0,17.92
2月,黑龙江省,双鸭山市,1,3.0,17.8011
2月,湖北省,宜昌市,2,2.0,17.3014
2月,宁夏回族自治区,石嘴山市,1,2.0,17.1204
2月,广西壮族自治区,贺州市,1,2.0,17.1204
2月,山西省,吕梁市,1,3.0,16.6113
2月,河北省,唐山市,2,2.0,16.0176
2月,广西壮族自治区,玉林市,1,2.0,13.8152
2月,河南省,许昌市,1,3.0,13.6701
2月,安徽省,淮北市,1,2.0,13.1872
2月,广东省,肇庆市,1,2.0,12.8436
2月,广东省,清远市,1,1.0,10.9
2月,江苏省,镇江市,1,1.0,10.9
2月,甘肃省,武威市,1,1.0,9.6
2月,云南省,临沧市,1,1.0,9.122
2月,云南省,大理白族自治州,1,1.0,9.122
2月,内蒙古自治区,乌海市,1,1.0,9.122
2月,内蒙古自治区,呼和浩特市,1,1.0,9.122
2月,四川省,凉山彝族自治州,1,1.0,9.122
2月,四川省,宜宾市,1,1.0,9.122
2月,四川省,眉山市,1,1.0,9.122
2月,山西省,阳泉市,1,1.0,9.122
2月,广西壮族自治区,河池市,1,1.0,9.122
2月,广西壮族自治区,百色市,1,1.0,9.122
2月,河南省,漯河市,1,1.0,9.122
2月,湖北省,仙桃,1,1.0,9.122
2月,福建省,厦门市,1,1.0,9.122
2月,贵州省,安顺市,1,1.0,9.122
2月,贵州省,铜仁市,1,1.0,9.122
2月,贵州省,黔西南布依族苗族自治州,1,1.0,9.122
2月,黑龙江省,伊春市,1,1.0,9.122
2月,黑龙江省,佳木斯市,1,1.0,9.122
2月,广西壮族自治区,桂林市,1,1.0,8.72
2月,四川省,资阳市,1,1.0,7.3902
2月,广东省,河源市,1,1.0,7.2976
2月,广东省,梅州市,1,1.0,7.139
2月,安徽省,马鞍山市,1,1.0,7.1192
2月,云南省,西双版纳傣族自治州,1,1.0,6.8415
2月,吉林省,通化市,1,1.0,6.8415
2月,广东省,汕尾市,1,1.0,6.8415
2月,河北省,廊坊市,1,1.0,6.8415
2月,河南省,安阳市,1,1.0,6.8415
2月,吉林省,白城市,1,1.0,0.9
3月,浙江省,温州市,39,506.0,3411.0586
3月,上海,上海市,98,340.0,2571.2828
3月,浙江省,杭州市,51,354.0,2542.1634
3月,广东省,东莞市,48,359.0,2538.0188
3月,浙江省,宁波市,36,340.0,2451.553
3月,海南省,省直辖县级行政区划,25,277.0,1964.6406000000002
3月,山东省,菏泽市,22,275.0,1749.4384
3月,浙江省,金华市,39,206.0,1498.213
3月,广东省,揭阳市,5,204.0,1356.8919999999998
3月,海南省,海口市,14,185.0,1275.6084
3月,浙江省,台州市,18,180.0,1246.2361
3月,江苏省,苏州市,47,154.0,1157.4877
3月,江西省,南昌市,18,158.0,1104.1594
3月,辽宁省,沈阳市,14,137.0,966.2558999999999
3月,安徽省,阜阳市,10,147.0,940.6114
3月,广东省,广州市,43,121.0,935.6514000000001
3月,江苏省,盐城市,15,138.0,926.3791
3月,陕西省,咸阳市,13,125.0,915.1772
3月,浙江省,绍兴市,11,124.0,893.3643999999999
3月,贵州省,毕节市,2,120.0,852.28
3月,浙江省,丽水市,10,121.0,847.8862
3月,江苏省,徐州市,9,132.0,837.411
3月,山东省,泰安市,5,124.0,830.1293000000001
3月,北京,北京市,37,111.0,829.6503
3月,江苏省,扬州市,10,124.0,829.2784
3月,广东省,深圳市,40,103.0,767.0713000000001
3月,江苏省,南通市,11,105.0,745.1295
3月,广东省,佛山市,31,94.0,743.1383
3月,江苏省,常州市,18,106.0,732.7048
3月,福建省,漳州市,5,102.0,683.3187
3月,江西省,吉安市,8,92.0,666.6711
3月,湖南省,株洲市,3,95.0,647.7
3月,贵州省,贵阳市,10,86.0,617.2024
3月,湖北省,咸宁市,6,85.0,611.9026
3月,福建省,宁德市,5,97.0,611.604
3月,江苏省,南京市,20,81.0,583.5645999999999
3月,福建省,南平市,3,81.0,582.9
3月,云南省,西双版纳傣族自治州,3,81.0,568.5999999999999
3月,黑龙江省,牡丹江市,1,80.0,566.28
3月,湖北省,孝感市,6,86.0,558.0896
3月,湖南省,长沙市,19,76.0,542.6296
3月,福建省,福州市,13,75.0,536.9544
3月,河南省,郑州市,4,84.0,535.4256
3月,江苏省,无锡市,16,74.0,520.2773
3月,安徽省,滁州市,11,74.0,506.0953
3月,重庆,重庆市,13,67.0,505.7186
3月,山东省,威海市,16,62.0,480.584
3月,安徽省,芜湖市,6,64.0,461.23240000000004
3月,江苏省,淮安市,7,65.0,453.8977
3月,江苏省,宿迁市,6,61.0,446.06039999999996
3月,陕西省,西安市,21,58.0,443.4866
3月,湖北省,荆州市,8,64.0,438.4152
3月,浙江省,嘉兴市,23,54.0,428.9735
3月,安徽省,宿州市,5,59.0,415.0326
3月,湖南省,衡阳市,5,59.0,399.9049
3月,福建省,莆田市,8,54.0,399.5619
3月,广东省,汕头市,6,54.0,399.11249999999995
3月,安徽省,淮南市,8,54.0,398.5661
3月,安徽省,宣城市,9,56.0,396.1062
3月,贵州省,黔东南苗族侗族自治州,2,55.0,395.9995
3月,江西省,赣州市,7,55.0,390.00789999999995
3月,湖南省,湘潭市,3,56.0,361.52149999999995
3月,山东省,聊城市,9,50.0,353.4912
3月,云南省,昆明市,8,51.0,352.6298
3月,湖北省,省直辖县级行政区划,6,47.0,340.2931
3月,山西省,太原市,12,51.0,339.1373
3月,浙江省,湖州市,11,46.0,334.9432
3月,江苏省,连云港市,8,50.0,332.1323
3月,福建省,泉州市,11,45.0,327.881
3月,贵州省,黔南布依族苗族自治州,3,44.0,326.48999999999995
3月,山东省,济宁市,6,48.0,325.0154
3月,安徽省,合肥市,25,37.0,324.31
3月,湖北省,宜昌市,4,44.0,315.6229
3月,江西省,萍乡市,4,48.0,312.93059999999997
3月,江西省,景德镇市,4,44.0,307.7737
3月,河北省,保定市,5,46.0,303.8514
3月,山东省,济南市,5,47.0,299.3008
3月,河南省,信阳市,5,46.0,298.0756
3月,江西省,抚州市,3,42.0,297.65369999999996
3月,内蒙古自治区,呼和浩特市,2,41.0,294.2098
3月,江西省,上饶市,2,41.0,293.7537
3月,湖北省,鄂州市,2,41.0,293.6678
3月,河南省,商丘市,3,43.0,292.24240000000003
3月,广西壮族自治区,柳州市,4,44.0,291.1251
3月,湖南省,张家界市,2,42.0,290.42999999999995
3月,山西省,晋中市,1,40.0,286.0
3月,甘肃省,嘉峪关市,1,40.0,286.0
3月,山东省,烟台市,18,34.0,283.5929
3月,黑龙江省,哈尔滨市,11,43.0,280.5078
3月,吉林省,吉林市,2,41.0,279.44
3月,海南省,乐东黎族自治县,1,40.0,279.0
3月,河北省,唐山市,2,41.0,262.17
3月,湖北省,武汉市,16,35.0,258.4178
3月,江西省,宜春市,5,34.0,253.8837
3月,湖南省,岳阳市,2,41.0,250.8537
3月,广西壮族自治区,南宁市,14,38.0,248.2853
3月,湖南省,娄底市,1,40.0,245.96
3月,山东省,青岛市,13,30.0,238.023
3月,山东省,枣庄市,4,32.0,236.2402
3月,广东省,潮州市,6,38.0,235.1574
3月,甘肃省,酒泉市,3,31.0,222.3
3月,海南省,白沙黎族自治县,2,30.0,219.999
3月,江苏省,泰州市,8,29.0,207.252
3月,天津,天津市,10,27.0,202.5138
3月,湖北省,黄冈市,10,28.0,200.34799999999998
3月,辽宁省,锦州市,3,26.0,197.022
3月,黑龙江省,齐齐哈尔市,5,26.0,181.0639
3月,江西省,九江市,7,27.0,175.6439
3月,四川省,成都市,12,19.0,167.15699999999998
3月,山东省,潍坊市,4,22.0,164.5433
3月,河南省,南阳市,3,20.0,146.52949999999998
3月,广西壮族自治区,桂林市,4,20.0,145.8595
3月,安徽省,马鞍山市,3,19.0,138.2633
3月,辽宁省,阜新市,3,17.0,131.7995
3月,湖南省,常德市,4,19.0,131.4105
3月,广西壮族自治区,玉林市,2,18.0,118.7301
3月,海南省,琼海市,2,16.0,118.2093
3月,河南省,洛阳市,3,17.0,116.4742
3月,辽宁省,铁岭市,2,16.0,115.2695
3月,甘肃省,武威市,2,16.0,112.7537
3月,内蒙古自治区,乌海市,1,15.0,109.9995
3月,宁夏回族自治区,中卫市,1,15.0,109.9995
3月,山西省,临汾市,1,15.0,109.9995
3月,河南省,周口市,1,15.0,109.9995
3月,青海省,海东市,1,15.0,109.9995
3月,安徽省,亳州市,9,14.0,103.2642
3月,辽宁省,抚顺市,2,16.0,100.9
3月,广东省,珠海市,8,11.0,99.644
3月,江西省,新余市,3,17.0,98.6537
3月,湖南省,怀化市,5,13.0,98.0521
3月,安徽省,蚌埠市,5,15.0,97.2849
3月,吉林省,白山市,1,15.0,94.9995
3月,吉林省,长春市,8,13.0,94.5193
3月,内蒙古自治区,呼伦贝尔市,3,12.0,92.40039999999999
3月,广东省,中山市,6,11.0,89.1935
3月,山东省,临沂市,9,9.0,87.1191
3月,湖北省,襄阳市,5,10.0,84.7897
3月,甘肃省,兰州市,7,8.0,78.966
3月,河北省,石家庄市,6,22.0,69.4271
3月,广东省,惠州市,4,9.0,67.7264
3月,湖南省,永州市,3,9.0,67.3792
3月,浙江省,衢州市,5,7.0,65.9439
3月,陕西省,榆林市,3,8.0,62.9237
3月,云南省,德宏傣族景颇族自治州,3,7.0,60.922
3月,广东省,江门市,4,7.0,53.089999999999996
3月,海南省,三亚市,5,7.0,52.9363
3月,辽宁省,丹东市,4,7.0,52.1905
3月,内蒙古自治区,鄂尔多斯市,3,6.0,50.760400000000004
3月,内蒙古自治区,兴安盟,2,6.0,50.6307
3月,河南省,开封市,3,6.0,50.519999999999996
3月,湖北省,恩施土家族苗族自治州,2,6.0,50.022
3月,山东省,淄博市,3,6.0,48.0137
3月,辽宁省,大连市,4,6.0,46.6464
3月,江苏省,镇江市,4,5.0,46.0396
3月,四川省,内江市,2,5.0,44.799899999999994
3月,河北省,沧州市,3,5.0,44.549899999999994
3月,四川省,南充市,3,5.0,43.1404
3月,河南省,许昌市,3,5.0,41.1165
3月,辽宁省,鞍山市,3,5.0,40.6657
3月,河北省,廊坊市,2,5.0,40.022
3月,河南省,漯河市,2,5.0,37.4904
3月,河北省,邢台市,3,5.0,36.5052
3月,安徽省,池州市,3,4.0,32.928
3月,安徽省,安庆市,2,4.0,30.301099999999998
3月,福建省,厦门市,3,5.0,30.1057
3月,湖北省,黄石市,3,4.0,29.9572
3月,湖北省,十堰市,3,4.0,29.9268
