数据月份,订单日期,年份,月份,日,经销商,店铺,商品编码,商品名称,产品名称,产品大类,数量,GMV,含税进货价,省,市,区县
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,2.0,13.531,7.8,上海,上海市,宝山区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐TOTOLE调味旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,1.0,10.9,7.8,上海,上海市,宝山区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐TOTOLE调味旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,1.0,10.9,7.8,上海,上海市,浦东新区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐TOTOLE调味旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,2.0,15.12,7.8,上海,上海市,闵行区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐TOTOLE调味旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,3.0,26.9001,7.8,北京,北京市,丰台区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐TOTOLE调味旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,5.0,38.86,7.8,四川省,南充市,阆中市
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐家凯专卖店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,40.0,286.0,7.8,安徽省,芜湖市,鸠江区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,1.0,3.27,7.8,安徽省,阜阳市,太和县
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,2.0,16.2676,7.8,广东省,中山市,西区街道
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐家凯调味品专卖店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,40.0,256.0,7.8,广东省,汕头市,潮阳区
2月,2026-02-01,2026,2,1,家凯拼多多,太太乐旗舰店,9126682,A01三鲜鸡精40x180克(二维码),太太乐三鲜鸡精调味料40×180g（二维码）,三鲜鸡精,3.0,22.02,7.8,广东省,深圳市,罗湖区
