省,市,订单行数,数量合计,GMV合计,GMV占比,数量占比
上海,上海市,3289,5746.0,97942.9224,8.63,8.67
北京,北京市,2011,4026.0,66230.64,5.84,6.08
广东省,广州市,1249,2211.0,38168.9979,3.36,3.34
广东省,深圳市,1109,2036.0,34296.2446,3.02,3.07
四川省,成都市,1048,2014.0,34161.346,3.01,3.04
江苏省,苏州市,777,1699.0,28431.3029,2.5,2.56
天津,天津市,929,1671.0,27827.7703,2.45,2.52
重庆,重庆市,723,1401.0,24122.8188,2.13,2.11
广东省,东莞市,769,1472.0,24116.891,2.12,2.22
浙江省,杭州市,674,1138.0,20124.8207,1.77,1.72
辽宁省,沈阳市,614,1123.0,18992.9743,1.67,1.7
江苏省,南京市,551,1055.0,18563.1562,1.64,1.59
湖北省,武汉市,494,914.0,15458.1437,1.36,1.38
陕西省,西安市,402,793.0,13360.0465,1.18,1.2
江苏省,无锡市,406,733.0,13228.7631,1.17,1.11
江苏省,南通市,378,731.0,12640.0747,1.11,1.1
广东省,佛山市,388,691.0,12247.5852,1.08,1.04
浙江省,宁波市,305,650.0,11622.3019,1.02,0.98
山东省,青岛市,338,661.0,11174.3163,0.98,1.0
江苏省,常州市,342,645.0,11062.7967,0.97,0.97
广东省,珠海市,253,542.0,8756.3682,0.77,0.82
河南省,郑州市,298,483.0,8591.3609,0.76,0.73
浙江省,湖州市,197,509.0,8506.7538,0.75,0.77
辽宁省,大连市,269,494.0,8431.1055,0.74,0.75
安徽省,合肥市,275,487.0,8310.2298,0.73,0.74
广东省,惠州市,245,469.0,8267.0927,0.73,0.71
山西省,太原市,257,467.0,8162.0501,0.72,0.7
福建省,福州市,250,450.0,8038.4025,0.71,0.68
湖南省,长沙市,249,442.0,7731.8408,0.68,0.67
浙江省,金华市,245,426.0,7707.4987,0.68,0.64
浙江省,温州市,236,425.0,7694.3864,0.68,0.64
黑龙江省,哈尔滨市,236,456.0,7640.9571,0.67,0.69
吉林省,长春市,233,424.0,7378.249,0.65,0.64
广西壮族自治区,南宁市,233,415.0,7353.4028,0.65,0.63
山东省,济南市,246,421.0,7329.0498,0.65,0.64
福建省,泉州市,209,396.0,6958.3854,0.61,0.6
福建省,厦门市,210,384.0,6766.1072,0.6,0.58
河北省,唐山市,228,401.0,6657.9817,0.59,0.61
广东省,中山市,225,386.0,6594.3849,0.58,0.58
浙江省,嘉兴市,195,362.0,6531.1338,0.58,0.55
