美极鲜味汁 | 购买城市分布 | 2026年1-5月（日数据汇总）
============================================================
数据行数(有效成交): 34853
覆盖省份: 29 | 覆盖城市: 333
数量合计: 66,250 | GMV合计: 1,135,007.99
时间: 2026年1月 ~ 2026年5月

【规格结构】
                    数量          GMV
商品名称                               
美极鲜味汁12x400ml  54340.0  987923.3230
美极鲜味汁24x200ml   7857.0  108657.9232
美极鲜味汁28x100ml   4053.0   38426.7426

【省份 TOP15】
      省  订单行数   数量合计       GMV合计  GMV占比
    广东省  5242 9671.0 164187.7841  14.47
    江苏省  3314 6487.0 111572.9227   9.83
     上海  3289 5746.0  97942.9224   8.63
    浙江省  2293 4351.0  77046.2680   6.79
    四川省  2014 3918.0  66573.0966   5.87
     北京  2011 4026.0  66230.6400   5.84
    辽宁省  1751 3266.0  54594.9643   4.81
    山东省  1576 2867.0  49547.8860   4.37
    湖北省  1191 2407.0  41551.1686   3.66
    河北省  1268 2317.0  38889.6741   3.43
    安徽省  1107 2066.0  36241.8375   3.19
    河南省  1115 1959.0  34048.1141   3.00
    福建省   980 1886.0  33395.5940   2.94
广西壮族自治区   764 1636.0  29190.7128   2.57
    陕西省   795 1670.0  28595.7439   2.52

【城市 TOP30】
  省   市  订单行数   数量合计      GMV合计  GMV占比  数量占比
 上海 上海市  3289 5746.0 97942.9224   8.63  8.67
 北京 北京市  2011 4026.0 66230.6400   5.84  6.08
广东省 广州市  1249 2211.0 38168.9979   3.36  3.34
广东省 深圳市  1109 2036.0 34296.2446   3.02  3.07
四川省 成都市  1048 2014.0 34161.3460   3.01  3.04
江苏省 苏州市   777 1699.0 28431.3029   2.50  2.56
 天津 天津市   929 1671.0 27827.7703   2.45  2.52
 重庆 重庆市   723 1401.0 24122.8188   2.13  2.11
广东省 东莞市   769 1472.0 24116.8910   2.12  2.22
浙江省 杭州市   674 1138.0 20124.8207   1.77  1.72
辽宁省 沈阳市   614 1123.0 18992.9743   1.67  1.70
江苏省 南京市   551 1055.0 18563.1562   1.64  1.59
湖北省 武汉市   494  914.0 15458.1437   1.36  1.38
陕西省 西安市   402  793.0 13360.0465   1.18  1.20
江苏省 无锡市   406  733.0 13228.7631   1.17  1.11
江苏省 南通市   378  731.0 12640.0747   1.11  1.10
广东省 佛山市   388  691.0 12247.5852   1.08  1.04
浙江省 宁波市   305  650.0 11622.3019   1.02  0.98
山东省 青岛市   338  661.0 11174.3163   0.98  1.00
江苏省 常州市   342  645.0 11062.7967   0.97  0.97
广东省 珠海市   253  542.0  8756.3682   0.77  0.82
河南省 郑州市   298  483.0  8591.3609   0.76  0.73
浙江省 湖州市   197  509.0  8506.7538   0.75  0.77
辽宁省 大连市   269  494.0  8431.1055   0.74  0.75
安徽省 合肥市   275  487.0  8310.2298   0.73  0.74
广东省 惠州市   245  469.0  8267.0927   0.73  0.71
山西省 太原市   257  467.0  8162.0501   0.72  0.70
福建省 福州市   250  450.0  8038.4025   0.71  0.68
湖南省 长沙市   249  442.0  7731.8408   0.68  0.67
浙江省 金华市   245  426.0  7707.4987   0.68  0.64
