省,市,商品名称,产品名称,订单行数,数量合计,GMV合计
上海,上海市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,2516,4364.0,80628.3104
北京,北京市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,1572,3186.0,56107.7782
广东省,广州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,972,1734.0,32168.477
四川省,成都市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,849,1670.0,29980.7058
广东省,深圳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,806,1469.0,27563.7041
天津,天津市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,742,1323.0,23552.2993
江苏省,苏州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,614,1182.0,21912.1115
重庆,重庆市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,607,1160.0,21027.0677
广东省,东莞市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,547,1061.0,19340.2497
浙江省,杭州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,537,907.0,17199.7299
辽宁省,沈阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,513,958.0,16983.854
江苏省,南京市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,448,853.0,16004.0155
湖北省,武汉市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,394,722.0,12971.7531
上海,上海市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,484,895.0,12695.522
江苏省,无锡市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,341,641.0,12066.8832
陕西省,西安市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,333,646.0,11571.3457
江苏省,南通市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,323,620.0,11298.5851
广东省,佛山市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,319,584.0,10925.2648
浙江省,宁波市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,260,574.0,10622.2018
江苏省,常州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,267,505.0,9260.6466
山东省,青岛市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,276,512.0,9200.4759
河南省,郑州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,254,412.0,7766.5206
北京,北京市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,291,562.0,7551.1118
浙江省,湖州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,159,415.0,7431.9231
安徽省,合肥市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,233,416.0,7416.0594
广东省,惠州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,201,395.0,7370.5025
辽宁省,大连市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,214,401.0,7293.7151
广东省,珠海市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,199,413.0,7232.3181
湖南省,长沙市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,207,387.0,7062.8108
浙江省,温州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,202,376.0,7057.0163
浙江省,金华市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,205,365.0,6933.0387
福建省,福州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,209,364.0,6893.3217
山东省,济南市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,216,377.0,6779.7097
广西壮族自治区,南宁市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,199,368.0,6721.723
吉林省,长春市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,195,368.0,6642.5588
山西省,太原市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,197,353.0,6601.7899
黑龙江省,哈尔滨市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,186,365.0,6581.5474
福建省,泉州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,175,331.0,6231.3052
浙江省,嘉兴市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,167,320.0,5990.4838
河北省,唐山市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,192,332.0,5867.4316
福建省,厦门市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,168,309.0,5767.2171
河北省,石家庄市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,160,322.0,5723.3289
浙江省,台州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,150,322.0,5691.11
广东省,中山市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,173,309.0,5688.8048
江苏省,苏州市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,115,424.0,5661.3212
陕西省,咸阳市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,153,293.0,5378.0378
辽宁省,鞍山市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,162,318.0,5350.6944
云南省,昆明市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,133,265.0,4914.0369
河北省,廊坊市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,149,267.0,4724.89
上海,上海市,美极鲜味汁28x100ml,美极鲜味汁 28x100毫升,289,487.0,4619.09
广东省,湛江市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,113,263.0,4587.8908
江苏省,盐城市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,130,243.0,4407.7068
广东省,广州市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,171,316.0,4391.3109
浙江省,绍兴市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,125,223.0,4177.4976
江西省,南昌市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,125,226.0,4157.2579
山东省,烟台市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,123,230.0,4144.0022
广西壮族自治区,崇左市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,39,218.0,4076.7274
江苏省,泰州市,美极鲜味汁12x400ml,美极鲜味汁 12x400毫升,114,227.0,4049.2271
广东省,深圳市,美极鲜味汁24x200ml,美极鲜味汁 24x200毫升,132,280.0,3962.5706999999998
