省,订单行数,数量合计,GMV合计,GMV占比
广东省,5242,9671.0,164187.7841,14.47
江苏省,3314,6487.0,111572.9227,9.83
上海,3289,5746.0,97942.9224,8.63
浙江省,2293,4351.0,77046.268,6.79
四川省,2014,3918.0,66573.0966,5.87
北京,2011,4026.0,66230.64,5.84
辽宁省,1751,3266.0,54594.9643,4.81
山东省,1576,2867.0,49547.886,4.37
湖北省,1191,2407.0,41551.1686,3.66
河北省,1268,2317.0,38889.674100000004,3.43
安徽省,1107,2066.0,36241.8375,3.19
河南省,1115,1959.0,34048.1141,3.0
福建省,980,1886.0,33395.594,2.94
广西壮族自治区,764,1636.0,29190.7128,2.57
陕西省,795,1670.0,28595.7439,2.52
天津,929,1671.0,27827.7703,2.45
重庆,723,1401.0,24122.8188,2.13
湖南省,694,1306.0,23047.4512,2.03
江西省,591,1126.0,19821.3561,1.75
山西省,586,1098.0,18866.1665,1.66
云南省,431,931.0,16813.1565,1.48
黑龙江省,511,941.0,16066.0068,1.42
吉林省,492,916.0,15384.806,1.36
贵州省,404,873.0,15086.8965,1.33
海南省,325,674.0,11405.7439,1.0
内蒙古自治区,220,519.0,8265.4237,0.73
甘肃省,189,427.0,7135.823,0.63
宁夏回族自治区,30,59.0,957.0,0.08
青海省,18,35.0,598.2404,0.05
